C,living,order,looking
C1,Caf?,1,32
C1,Caf?,2,13
C1,Caf?,3,26
C1,Caf?,4,63
C2,Caf?,1,230
C2,Caf?,2,143
C2,Caf?,3,53
C2,Caf?,4,3
C3,Caf?,1,136
C3,Caf?,2,100
C3,Caf?,3,159
C3,Caf?,4,69
C4,Caf?,1,142
C4,Caf?,2,103
C4,Caf?,3,49
C4,Caf?,4,41
C5,Caf?,1,168
C5,Caf?,2,20
C5,Caf?,3,102
C5,Caf?,4,130
C6,Caf?,1,223
C6,Caf?,2,196
C6,Caf?,3,186
C6,Caf?,4,78
C7,Caf?,1,0
C7,Caf?,2,70
C7,Caf?,3,0
C7,Caf?,4,114
C7,Caf?,5,0
C7,Caf?,6,79
C8,Caf?,1,0
C8,Caf?,2,172
C8,Caf?,3,0
C8,Caf?,4,0
C9,Caf?,1,265
C9,Caf?,2,269
C9,Caf?,3,221
C9,Caf?,4,20
C9,Caf?,5,228
C9,Caf?,6,178
C9,Caf?,7,224
C9,Caf?,8,271
C10,Caf?,1,0
C10,Caf?,2,27
C10,Caf?,3,178
C10,Caf?,4,270
C10,Caf?,5,90
C10,Caf?,6,0
C11,Caf?,1,185
C11,Caf?,2,111
C11,Caf?,3,192
C11,Caf?,4,130
C11,Caf?,5,217
C11,Caf?,6,44
C12,Caf?,1,0
C12,Caf?,2,137
C12,Caf?,3,222
C12,Caf?,4,87
C13,Caf?,1,116
C13,Caf?,2,118
C13,Caf?,3,95
C13,Caf?,4,28
C13,Caf?,5,15
C13,Caf?,6,44
C14,Caf?,1,134
C14,Caf?,2,171
C14,Caf?,3,138
C14,Caf?,4,269
C14,Caf?,5,151
C14,Caf?,6,49
C15,Caf?,1,190
C15,Caf?,2,165
C15,Caf?,3,136
C15,Caf?,4,63
C15,Caf?,5,0
C15,Caf?,6,57
C16,Caf?,1,102
C16,Caf?,2,0
C16,Caf?,3,229
C16,Caf?,4,22
C17,Caf?,1,177
C17,Caf?,2,204
C17,Caf?,3,0
C17,Caf?,4,80
C18,Caf?,1,128
C18,Caf?,2,39
C18,Caf?,3,21
C18,Caf?,4,42
C19,Caf?,1,270
C19,Caf?,2,260
C19,Caf?,3,14
C19,Caf?,4,13
C20,Caf?,1,270
C20,Caf?,2,271
C20,Caf?,3,164
C20,Caf?,4,217
C20,Caf?,5,11
C20,Caf?,6,175
C21,Caf?,1,145
C21,Caf?,2,87
C21,Caf?,3,13
C21,Caf?,4,49
C22,House ,1,47
C22,House ,2,97
C22,House ,3,54
C22,House ,4,22
C23,House ,1,267
C23,House ,2,240
C23,House ,3,83
C23,House ,4,123
C24,House ,1,18
C24,House ,2,139
C24,House ,3,0
C24,House ,4,52
C25,House ,1,71
C25,House ,2,0
C25,House ,3,101
C25,House ,4,0
C26,House ,1,185
C26,House ,2,270
C26,House ,3,270
C26,House ,4,270
C26,House ,5,270
C26,House ,6,270
C26,House ,7,227
C26,House ,8,265
C27,House ,1,35
C27,House ,2,0
C27,House ,3,73
C27,House ,4,0
C28,House ,1,111
C28,House ,2,101
C28,House ,3,0
C28,House ,4,26
C29,Caf?,1,12
C29,Caf?,2,80
C29,Caf?,3,54
C29,Caf?,4,56
C30,Caf?,1,10
C30,Caf?,2,177
C30,Caf?,3,47
C30,Caf?,4,128
C31,Caf?,1,267
C31,Caf?,2,264
C31,Caf?,3,262
C31,Caf?,4,267
C31,Caf?,5,115
C31,Caf?,6,91
C32,House ,1,163
C32,House ,2,178
C32,House ,3,237
C32,House ,4,21
C33,House ,1,152
C33,House ,2,162
C33,House ,3,142
C33,House ,4,98
C34,House ,1,105
C34,House ,2,16
C34,House ,3,20
C34,House ,4,172
C34,House ,5,22
C34,House ,6,24
